學年度,洲別,國別,學位生_正式修讀學位外國生[人],學位生_僑生(含港澳)[人],學位生_正式修讀學位陸生[人],非學位生_外國交換生[人],非學位生_外國短期研習及個人選讀[人],非學位生_大專附設華語文中心學生[人],非學位生_大陸研修生[人],非學位生_海青班[人],境外專班[人]
109,歐洲,立陶宛,3,0,0,1,0,5,0,0,0
109,歐洲,斯洛維尼亞,3,0,0,0,0,6,0,0,0
109,歐洲,保加利亞,5,0,0,0,0,3,0,0,0
109,歐洲,白俄羅斯,5,0,0,0,0,1,0,0,0
109,歐洲,塞爾維亞共和國,5,0,0,0,0,1,0,0,0
109,歐洲,愛沙尼亞,3,0,0,0,0,2,0,0,0
109,歐洲,希臘,1,0,0,0,0,3,0,0,0
109,歐洲,阿爾巴尼亞,1,0,0,0,0,2,0,0,0
109,歐洲,冰島,1,0,0,0,0,1,0,0,0
109,歐洲,盧森堡,0,0,0,1,0,0,0,0,0
109,歐洲,波士尼亞與赫塞哥維納,1,0,0,0,0,0,0,0,0
109,歐洲,科索沃共和國,1,0,0,0,0,0,0,0,0
109,美洲,美國,405,144,0,181,131,1347,0,0,15
109,美洲,加拿大,58,114,0,11,8,205,0,0,2
109,美洲,宏都拉斯,216,1,0,1,0,157,0,0,9
109,美洲,貝里斯,164,7,0,0,0,89,0,0,0
109,美洲,海地,145,0,0,0,0,52,0,0,0
109,美洲,瓜地馬拉,88,4,0,2,0,82,0,0,8
109,美洲,尼加拉瓜,84,5,0,1,0,54,0,0,7
109,美洲,聖文森,87,0,0,0,0,51,0,0,0
109,美洲,聖露西亞,97,0,0,0,0,37,0,0,0
109,美洲,墨西哥,58,5,0,3,0,55,0,0,1
109,美洲,薩爾瓦多,47,6,0,0,0,27,0,0,0
109,美洲,巴拿馬,27,1,0,0,0,15,0,0,1
109,美洲,多明尼加,9,7,0,0,0,3,0,0,0
109,美洲,哥斯大黎加,1,5,0,0,0,10,0,0,0
109,美洲,牙買加,2,0,0,0,0,0,0,0,0
109,美洲,格瑞那達,1,0,0,0,0,0,0,0,0
109,美洲,波多黎各,0,0,0,0,0,1,0,0,0
109,美洲,多米尼克,0,0,0,0,0,1,0,0,0
109,美洲,巴拉圭,135,20,0,0,0,131,0,2,5
109,美洲,巴西,53,31,0,1,0,87,0,0,0
109,美洲,秘魯,38,4,0,0,0,53,0,0,1
109,美洲,聖克里斯多福,59,0,0,0,0,33,0,0,0
109,美洲,阿根廷,10,26,0,0,0,38,0,1,1
109,美洲,哥倫比亞,37,1,0,1,0,32,0,0,0
109,美洲,智利,7,12,0,0,0,34,0,0,1
109,美洲,厄瓜多,17,8,0,0,0,14,0,0,0
109,美洲,委內瑞拉,5,4,0,0,0,29,0,0,0
109,美洲,玻利維亞,4,1,0,0,0,10,0,0,0
109,美洲,蓋亞那,1,0,0,0,0,0,0,0,0
110,亞洲,越南,11945,2149,0,373,217,4122,0,15,310
110,亞洲,印尼,6609,3258,0,2055,834,3126,0,138,1
110,亞洲,馬來西亞,3735,7572,0,68,27,172,0,947,105
110,亞洲,香港,0,9012,0,23,43,90,0,0,0
110,亞洲,日本,2199,191,0,199,529,2468,0,0,0
110,亞洲,大陸地區,0,0,4293,0,0,0,0,0,0
110,亞洲,印度,1475,2,0,957,94,467,0,0,0
110,亞洲,泰國,1218,232,0,18,306,1075,0,13,2
110,亞洲,澳門,0,2493,0,14,0,4,0,0,0
110,亞洲,菲律賓,1153,50,0,22,62,958,0,3,0
110,亞洲,南韓,664,134,0,14,81,860,0,0,0
110,亞洲,緬甸,234,822,0,4,18,55,0,40,11
110,亞洲,蒙古,498,0,0,2,0,382,0,0,0
110,亞洲,俄羅斯,164,0,0,17,7,248,0,0,0
110,亞洲,巴基斯坦,207,0,0,0,2,14,0,0,0
110,亞洲,新加坡,89,73,0,8,17,22,0,0,0
110,亞洲,柬埔寨,68,19,0,0,1,119,0,0,1
110,亞洲,土耳其,67,0,0,9,18,53,0,0,0
110,亞洲,伊朗,49,5,0,1,0,31,0,0,0
110,亞洲,斯里蘭卡,76,0,0,0,0,10,0,0,0
110,亞洲,尼泊爾,71,0,0,0,0,14,0,0,0
110,亞洲,吉爾吉斯,50,0,0,0,0,25,0,0,0
110,亞洲,孟加拉,41,0,0,9,12,6,0,0,0
110,亞洲,約旦,18,7,0,0,0,14,0,0,0
110,亞洲,以色列,8,0,0,1,0,21,0,0,0
110,亞洲,寮國,24,2,0,0,0,3,0,1,0
110,亞洲,汶萊,3,9,0,0,0,1,0,15,0
110,亞洲,葉門,9,2,0,0,0,3,0,0,0
110,亞洲,伊拉克,7,0,0,0,0,2,0,0,0
110,亞洲,哈薩克,6,0,0,1,0,2,0,0,0
110,亞洲,土庫曼,6,0,0,0,0,3,0,0,0
110,亞洲,烏茲別克,3,0,0,0,0,3,0,0,0
110,亞洲,塔吉克,5,0,0,0,0,1,0,0,0
110,亞洲,沙烏地阿拉伯,0,2,0,0,0,3,0,0,0
110,亞洲,巴勒斯坦,4,0,0,0,0,1,0,0,0
110,亞洲,亞美尼亞,2,0,0,0,0,2,0,0,0
110,亞洲,阿富汗,1,1,0,0,0,1,0,0,0
110,亞洲,黎巴嫩,1,1,0,0,0,1,0,0,0
110,亞洲,不丹,1,0,0,0,1,0,0,0,0
110,亞洲,敘利亞,2,0,0,0,0,0,0,0,0
110,亞洲,賽普勒斯,0,0,0,1,0,0,0,0,0
110,亞洲,科威特,1,0,0,0,0,0,0,0,0
110,亞洲,阿拉伯聯合大公國,0,1,0,0,0,0,0,0,0
110,大洋洲,澳大利亞,22,7,0,9,1,281,0,0,0
110,大洋洲,紐西蘭,4,7,0,0,8,119,0,1,0
110,大洋洲,帛琉,51,1,0,0,0,43,0,0,0
110,大洋洲,馬紹爾群島共和國,43,2,0,0,0,28,0,0,0
110,大洋洲,諾魯,19,0,0,0,0,49,0,0,0
110,大洋洲,巴布亞紐幾內亞,22,1,0,0,0,7,0,0,0
110,大洋洲,吐瓦魯,17,0,0,0,0,3,0,0,0
110,大洋洲,索羅門群島,9,0,0,0,0,0,0,0,0
110,大洋洲,斐濟,3,0,0,0,0,1,0,0,0
110,大洋洲,吉里巴斯,3,0,0,0,0,1,0,0,0
110,非洲,史瓦帝尼王國,319,3,0,0,50,92,0,0,0
110,非洲,衣索比亞,161,0,0,0,2,7,0,0,0
110,非洲,南非,54,39,0,0,0,46,0,1,0
110,非洲,埃及,57,0,0,0,23,12,0,0,0
110,非洲,甘比亞,44,0,0,0,38,3,0,0,0
110,非洲,坦尚尼亞,49,0,0,0,0,36,0,0,0
110,非洲,奈及利亞,52,1,0,0,6,9,0,0,0
110,非洲,馬拉威,50,0,0,0,4,2,0,0,0
110,非洲,蒲隆地,21,0,0,0,0,15,0,0,0
110,非洲,索馬利蘭共和國,22,0,0,0,0,14,0,0,0
110,非洲,布吉納法索,23,0,0,0,0,3,0,0,0
110,非洲,烏干達,23,0,0,0,0,2,0,0,0
110,非洲,肯亞,16,0,0,0,0,4,0,0,0
110,非洲,莫三比克,5,0,0,0,0,11,0,0,0
110,非洲,獅子山共和國,2,0,0,0,0,12,0,0,0
110,非洲,迦納,6,0,0,1,3,1,0,0,0
110,非洲,摩洛哥,6,0,0,0,0,5,0,0,0
110,非洲,辛巴威,6,0,0,0,0,5,0,0,0
110,非洲,索馬利亞民主共和國,3,0,0,0,2,3,0,0,0
110,非洲,剛果,5,0,0,0,0,1,0,0,0
110,非洲,阿爾及利亞,1,0,0,0,3,1,0,0,0
110,非洲,模里西斯,1,1,0,0,0,3,0,0,0
110,非洲,剛果民主共和國,0,0,0,0,0,5,0,0,0
110,非洲,納米比亞,2,2,0,0,0,1,0,0,0
110,非洲,聖多美普林西比,0,0,0,0,0,4,0,0,0
110,非洲,尚比亞,4,0,0,0,0,0,0,0,0
110,非洲,貝南,3,0,0,0,0,0,0,0,0
110,非洲,喀麥隆,2,0,0,0,0,1,0,0,0
110,非洲,塞內加爾,3,0,0,0,0,0,0,0,0
110,非洲,蘇丹,2,0,0,0,0,1,0,0,0
110,非洲,多哥,1,0,0,0,1,1,0,0,0
110,非洲,突尼西亞,2,0,0,0,0,1,0,0,0
110,非洲,查德,2,0,0,0,0,0,0,0,0
110,非洲,象牙海岸,0,0,0,1,1,0,0,0,0
110,非洲,賴索托,1,0,0,0,0,1,0,0,0
110,非洲,利比亞,1,0,0,0,0,1,0,0,0
110,非洲,盧安達,1,0,0,0,0,1,0,0,0
110,非洲,安哥拉,0,0,0,0,0,1,0,0,0
110,非洲,中非,0,0,0,0,0,1,0,0,0
110,非洲,吉布地,1,0,0,0,0,0,0,0,0
110,非洲,加彭,1,0,0,0,0,0,0,0,0
110,非洲,幾內亞,1,0,0,0,0,0,0,0,0
110,非洲,馬達加斯加,0,1,0,0,0,0,0,0,0
110,非洲,南蘇丹共和國,1,0,0,0,0,0,0,0,0
110,歐洲,法國,104,1,0,243,9,339,0,0,0
110,歐洲,德國,125,1,0,186,26,255,0,0,0
110,歐洲,英國,78,2,0,105,10,359,0,0,0
110,歐洲,西班牙,47,6,0,60,0,124,0,0,0
110,歐洲,義大利,45,3,0,31,0,101,0,0,0
110,歐洲,捷克,26,0,0,37,11,81,0,0,0
110,歐洲,波蘭,49,0,0,16,0,79,0,0,0
110,歐洲,比利時,12,2,0,44,5,45,0,0,0
110,歐洲,烏克蘭,25,0,0,4,28,46,0,0,0
110,歐洲,荷蘭,26,2,0,17,0,54,0,0,0
110,歐洲,奧地利,35,0,0,18,0,26,0,0,1
110,歐洲,瑞士,21,1,0,18,0,33,0,0,0
110,歐洲,匈牙利,18,1,0,18,6,24,0,0,0
110,歐洲,瑞典,8,0,0,15,2,24,0,0,0
110,歐洲,斯洛伐克,14,0,0,6,0,21,0,0,0
110,歐洲,芬蘭,3,0,0,12,0,17,0,0,0
110,歐洲,葡萄牙,16,8,0,1,0,7,0,0,0
110,歐洲,愛爾蘭,8,1,0,4,0,13,0,0,0
110,歐洲,立陶宛,2,0,0,4,6,5,0,0,0
110,歐洲,羅馬尼亞,6,0,0,3,0,6,0,0,0
110,歐洲,挪威,4,0,0,2,0,6,0,0,0
110,歐洲,丹麥,4,0,0,3,0,4,0,0,0
110,歐洲,克羅埃西亞,5,0,0,1,0,3,0,0,0
110,歐洲,拉脫維亞,5,0,0,0,0,2,0,0,0
110,歐洲,白俄羅斯,6,0,0,0,0,1,0,0,0
110,歐洲,保加利亞,1,0,0,3,0,2,0,0,0
110,歐洲,冰島,1,0,0,3,0,2,0,0,0
110,歐洲,斯洛維尼亞,4,0,0,1,0,0,0,0,0
110,歐洲,塞爾維亞共和國,4,0,0,1,0,0,0,0,0
110,歐洲,阿爾巴尼亞,1,0,0,1,0,2,0,0,0
110,歐洲,希臘,2,0,0,0,0,2,0,0,0
110,歐洲,愛沙尼亞,2,0,0,2,0,0,0,0,0
110,歐洲,波士尼亞與赫塞哥維納,3,0,0,0,0,0,0,0,0
110,歐洲,盧森堡,0,0,0,2,0,0,0,0,0
110,歐洲,科索沃共和國,1,0,0,0,0,0,0,0,0
110,美洲,美國,415,148,0,206,154,2012,0,0,5
110,美洲,巴拉圭,166,20,0,282,0,115,0,0,5
110,美洲,加拿大,65,119,0,22,8,184,0,0,1
110,美洲,宏都拉斯,227,0,0,1,0,146,0,0,9
110,美洲,貝里斯,190,8,0,0,4,99,0,0,0
110,美洲,巴西,56,34,0,2,0,133,0,0,0
110,美洲,瓜地馬拉,98,5,0,0,0,90,0,0,7
110,美洲,海地,116,0,0,0,0,49,0,0,0
110,美洲,聖露西亞,112,0,0,0,0,49,0,0,0
110,美洲,尼加拉瓜,90,4,0,0,0,62,0,0,7
110,美洲,聖文森,95,0,0,0,0,51,0,0,0
110,美洲,墨西哥,58,4,0,0,0,38,0,0,1
110,美洲,聖克里斯多福,59,0,0,0,0,41,0,0,0
110,美洲,秘魯,51,3,0,2,1,42,0,0,2
110,美洲,哥倫比亞,46,2,0,2,0,30,0,0,0
110,美洲,阿根廷,11,34,0,0,5,18,0,1,0
110,美洲,薩爾瓦多,32,5,0,0,0,21,0,0,0
110,美洲,厄瓜多,19,7,0,2,0,14,0,0,0
110,美洲,巴拿馬,23,2,0,0,0,16,0,0,1
110,美洲,智利,12,11,0,0,0,5,0,0,2
110,美洲,委內瑞拉,7,5,0,0,0,12,0,0,1
110,美洲,多明尼加,5,8,0,0,0,7,0,0,0
110,美洲,玻利維亞,4,2,0,0,0,3,0,0,0
110,美洲,哥斯大黎加,1,4,0,0,0,3,0,0,0
110,美洲,牙買加,1,0,0,0,0,2,0,0,0
110,美洲,千里達,0,0,0,3,0,0,0,0,0
110,美洲,古巴,2,0,0,0,0,0,0,0,0
110,美洲,蓋亞那,2,0,0,0,0,0,0,0,0
110,美洲,格瑞那達,1,0,0,0,0,0,0,0,0
111,亞洲,越南,13649,2492,0,174,310,6962,0,35,204
111,亞洲,印尼,5388,4274,0,765,250,3938,0,150,1
111,亞洲,馬來西亞,3169,7755,0,67,57,596,0,763,95
111,亞洲,香港,0,9069,0,86,137,113,0,0,0
111,亞洲,日本,2465,205,0,888,624,3141,0,0,1
111,亞洲,泰國,1560,263,0,131,748,1892,0,8,2
111,亞洲,大陸地區,0,0,3121,0,0,7,22,0,0
111,亞洲,菲律賓,1486,70,0,76,137,1325,0,4,0
111,亞洲,印度,1452,12,0,372,256,514,0,0,0
111,亞洲,南韓,624,149,0,382,235,1008,0,0,0
111,亞洲,澳門,0,2120,0,59,2,4,0,0,0
111,亞洲,緬甸,248,1215,0,8,5,132,0,65,6
111,亞洲,蒙古,449,0,0,3,5,166,0,0,0
111,亞洲,俄羅斯,179,0,0,24,7,201,0,0,0
111,亞洲,新加坡,109,70,0,76,87,26,0,1,7
111,亞洲,巴基斯坦,232,0,0,0,24,17,0,0,0
111,亞洲,吉爾吉斯,104,0,0,0,0,91,0,0,0
111,亞洲,土耳其,61,0,0,15,12,78,0,0,0
111,亞洲,柬埔寨,62,32,0,0,4,58,0,0,1
111,亞洲,伊朗,57,5,0,0,2,29,0,0,0
111,亞洲,尼泊爾,69,0,0,1,2,11,0,0,0
111,亞洲,斯里蘭卡,46,0,0,1,3,10,0,0,0
111,亞洲,孟加拉,42,0,0,7,3,5,0,0,0
111,亞洲,以色列,8,0,0,12,3,33,0,0,0
111,亞洲,約旦,16,5,0,0,0,22,0,0,0
111,亞洲,寮國,22,3,0,0,0,5,0,0,1
111,亞洲,哈薩克,9,0,0,0,4,10,0,0,0
111,亞洲,汶萊,4,8,0,0,0,0,0,5,0
111,亞洲,伊拉克,8,0,0,0,0,4,0,0,0
111,亞洲,葉門,8,0,0,0,1,3,0,0,0
111,亞洲,土庫曼,8,0,0,0,0,2,0,0,0
111,亞洲,黎巴嫩,1,1,0,4,0,2,0,0,0
111,亞洲,烏茲別克,4,0,0,0,0,4,0,0,0
111,亞洲,塔吉克,6,0,0,0,0,2,0,0,0
111,亞洲,阿富汗,1,0,0,2,0,2,0,0,0
111,亞洲,喬治亞,1,0,0,0,4,0,0,0,0
111,亞洲,沙烏地阿拉伯,1,2,0,0,0,1,0,0,0
111,亞洲,巴勒斯坦,4,0,0,0,0,0,0,0,0
111,亞洲,賽普勒斯,0,0,0,2,0,1,0,0,0
111,亞洲,巴林,1,0,0,0,0,1,0,0,0
111,亞洲,不丹,1,0,0,0,0,1,0,0,0
111,亞洲,敘利亞,1,0,0,0,0,1,0,0,0
111,亞洲,亞美尼亞,1,0,0,0,1,0,0,0,0
111,亞洲,亞塞拜然,1,0,0,0,1,0,0,0,0
111,亞洲,馬爾地夫,0,0,0,0,0,1,0,0,0
111,亞洲,阿曼,1,0,0,0,0,0,0,0,0
111,大洋洲,澳大利亞,23,6,0,62,32,539,0,0,0
111,大洋洲,紐西蘭,4,7,0,3,15,129,0,0,0
111,大洋洲,帛琉,55,2,0,0,0,29,0,0,0
111,大洋洲,馬紹爾群島共和國,48,2,0,0,0,21,0,0,0
111,大洋洲,諾魯,21,0,0,0,0,31,0,0,0
111,大洋洲,巴布亞紐幾內亞,25,1,0,0,0,17,0,0,0
111,大洋洲,吐瓦魯,15,0,0,0,0,23,0,0,0
111,大洋洲,斐濟,5,1,0,0,0,14,0,0,0
111,大洋洲,索羅門群島,10,0,0,0,0,0,0,0,0
111,大洋洲,吉里巴斯,2,0,0,0,0,1,0,0,0
111,大洋洲,萬那杜,1,0,0,0,0,0,0,0,0
111,非洲,史瓦帝尼王國,292,3,0,0,0,99,0,0,0
111,非洲,衣索比亞,171,0,0,1,1,8,0,0,0
111,非洲,南非,44,39,0,3,3,30,0,1,0
111,非洲,索馬利蘭共和國,45,0,0,0,0,35,0,0,0
111,非洲,坦尚尼亞,60,0,0,0,0,12,0,0,0
111,非洲,奈及利亞,44,3,0,0,5,17,0,0,1
111,非洲,埃及,50,0,0,1,8,9,0,0,0
111,非洲,馬拉威,50,0,0,0,0,4,0,0,0
111,非洲,蒲隆地,34,0,0,0,0,14,0,0,0
111,非洲,烏干達,29,0,0,0,0,14,0,0,0
111,非洲,甘比亞,32,0,0,3,0,1,0,0,0
111,非洲,肯亞,14,0,0,0,2,7,0,0,0
111,非洲,摩洛哥,5,0,0,2,0,15,0,0,0
111,非洲,布吉納法索,17,0,0,0,0,2,0,0,0
111,非洲,莫三比克,8,0,0,0,0,9,0,0,0
111,非洲,辛巴威,5,0,0,0,0,6,0,0,1
111,非洲,剛果,5,0,0,0,0,3,0,0,0
111,非洲,突尼西亞,2,0,0,0,1,5,0,0,0
111,非洲,蘇丹,2,0,0,0,2,3,0,0,0
111,非洲,迦納,3,0,0,2,1,0,0,0,0
111,非洲,索馬利亞民主共和國,2,0,0,0,0,4,0,0,0
111,非洲,阿爾及利亞,1,0,0,3,0,1,0,0,0
111,非洲,模里西斯,3,1,0,0,0,1,0,0,0
111,非洲,塞內加爾,5,0,0,0,0,0,0,0,0
111,非洲,貝南,3,0,0,0,0,1,0,0,0
111,非洲,賴索托,2,0,0,0,0,2,0,0,0
111,非洲,剛果民主共和國,2,0,0,0,0,2,0,0,0
111,非洲,尚比亞,3,0,0,0,0,1,0,0,0
111,非洲,象牙海岸,2,0,0,0,0,1,0,0,0
111,非洲,盧安達,2,0,0,0,0,1,0,0,0
111,非洲,納米比亞,1,2,0,0,0,0,0,0,0
111,非洲,南蘇丹共和國,3,0,0,0,0,0,0,0,0
111,非洲,喀麥隆,2,0,0,0,0,0,0,0,0
111,非洲,查德,1,0,0,0,0,1,0,0,0
111,非洲,吉布地,1,0,0,0,0,1,0,0,0
111,非洲,幾內亞,0,0,0,0,0,2,0,0,0
111,非洲,利比亞,2,0,0,0,0,0,0,0,0
111,非洲,安哥拉,0,0,0,0,0,1,0,0,0
111,非洲,波札那,1,0,0,0,0,0,0,0,0
111,非洲,維德角,0,0,0,0,0,1,0,0,0
111,非洲,加彭,1,0,0,0,0,0,0,0,0
111,非洲,馬達加斯加,0,1,0,0,0,0,0,0,0
111,非洲,多哥,1,0,0,0,0,0,0,0,0
111,歐洲,法國,131,2,0,703,60,487,0,0,0
111,歐洲,德國,160,1,0,571,61,473,0,0,0
111,歐洲,英國,82,6,0,116,78,564,0,0,0
111,歐洲,西班牙,40,4,0,114,11,128,0,0,0
111,歐洲,荷蘭,26,2,0,152,12,103,0,0,0
111,歐洲,捷克,28,0,0,88,26,108,0,0,0
111,歐洲,波蘭,47,0,0,53,7,141,0,0,0
111,歐洲,義大利,44,3,0,86,8,91,0,0,0
111,歐洲,烏克蘭,67,0,0,6,26,87,0,0,0
111,歐洲,比利時,17,2,0,59,6,67,0,0,0
111,歐洲,瑞典,9,0,0,65,2,60,0,0,0
111,歐洲,奧地利,30,0,0,31,8,55,0,0,0
111,歐洲,丹麥,5,0,0,25,0,81,0,0,0
111,歐洲,斯洛伐克,12,0,0,36,7,54,0,0,0
111,歐洲,芬蘭,7,0,0,57,2,35,0,0,0
111,歐洲,瑞士,20,0,0,35,3,43,0,0,0
111,歐洲,匈牙利,14,1,0,17,11,44,0,0,0
111,歐洲,挪威,4,1,0,17,5,52,0,0,0
111,歐洲,立陶宛,5,0,0,26,10,34,0,0,0
111,歐洲,葡萄牙,12,5,0,9,4,15,0,0,0
111,歐洲,愛爾蘭,7,1,0,3,3,17,0,0,0
111,歐洲,羅馬尼亞,8,0,0,8,4,8,0,0,0
111,歐洲,愛沙尼亞,1,0,0,3,1,18,0,0,0
111,歐洲,希臘,1,0,0,2,1,13,0,0,0
111,歐洲,拉脫維亞,9,0,0,0,0,8,0,0,0
111,歐洲,斯洛維尼亞,3,0,0,3,2,7,0,0,0
111,歐洲,克羅埃西亞,3,0,0,4,0,7,0,0,0
111,歐洲,塞爾維亞共和國,6,0,0,0,0,7,0,0,0
111,歐洲,保加利亞,1,0,0,2,4,5,0,0,0
111,歐洲,白俄羅斯,7,0,0,1,1,3,0,0,0
111,歐洲,盧森堡,1,0,0,3,0,1,0,0,0
111,歐洲,阿爾巴尼亞,1,0,0,0,1,1,0,0,0
111,歐洲,冰島,0,0,0,0,0,2,0,0,0
111,歐洲,波士尼亞與赫塞哥維納,2,0,0,0,0,0,0,0,0
111,歐洲,科索沃共和國,1,0,0,0,0,1,0,0,0
111,歐洲,北馬其頓共和國,0,0,0,0,1,1,0,0,0
111,美洲,美國,423,149,0,399,706,2192,0,0,4
111,美洲,加拿大,68,138,0,44,65,220,0,1,0
111,美洲,宏都拉斯,220,0,0,1,0,138,0,0,6
111,美洲,貝里斯,222,4,0,0,1,104,0,0,0
111,美洲,瓜地馬拉,114,4,0,1,0,90,0,0,8
111,美洲,海地,117,0,0,0,0,99,0,0,0
111,美洲,墨西哥,63,5,0,15,15,75,0,0,1
111,美洲,聖露西亞,122,0,0,0,2,44,0,0,0
111,美洲,聖文森,98,0,0,0,0,56,0,0,0
111,美洲,尼加拉瓜,50,4,0,0,0,21,0,0,2
111,美洲,薩爾瓦多,31,4,0,0,0,7,0,0,0
111,美洲,巴拿馬,18,3,0,0,0,4,0,0,0
111,美洲,多明尼加,2,8,0,2,1,2,0,0,0
111,美洲,千里達,0,0,0,4,9,1,0,0,0
111,美洲,哥斯大黎加,1,5,0,0,0,3,0,0,0
111,美洲,牙買加,1,0,0,0,1,1,0,0,0
111,美洲,古巴,0,0,0,0,0,2,0,0,0
111,美洲,巴哈馬,1,0,0,0,0,0,0,0,0
111,美洲,格瑞那達,1,0,0,0,0,0,0,0,0
111,美洲,巴拉圭,179,16,0,88,0,159,0,0,6
111,美洲,巴西,45,32,0,4,23,50,0,0,0
111,美洲,秘魯,45,3,0,3,2,47,0,0,0
111,美洲,聖克里斯多福,64,0,0,0,0,35,0,0,0
111,美洲,哥倫比亞,44,2,0,5,0,31,0,0,1
111,美洲,阿根廷,13,40,0,1,1,21,0,2,1
111,美洲,智利,12,11,0,2,0,16,0,0,1
111,美洲,厄瓜多,15,4,0,0,0,17,0,0,1
111,美洲,委內瑞拉,7,5,0,1,0,11,0,0,1
111,美洲,玻利維亞,6,1,0,0,0,5,0,0,0
111,美洲,蓋亞那,2,0,0,0,0,0,0,0,0
111,美洲,烏拉圭,0,0,0,0,0,0,0,0,1
